State,Area_name,"Less than a high school diploma, 2014-18","High school diploma only, 2014-18","Some college or associate's degree, 2014-18","Bachelor's degree or higher, 2014-18","Percent of adults with less than a high school diploma, 2014-18","Percent of adults with a high school diploma only, 2014-18","Percent of adults completing some college or associate's degree, 2014-18","Percent of adults with a bachelor's degree or higher, 2014-18"
US,United States,"26,948,057","59,265,308","63,365,655","68,867,051",12.3,27.1,29.0,31.5
AL,Alabama,"470,043","1,020,172","987,148","822,595",14.2,30.9,29.9,24.9
AL,Autauga County,"4,204","12,119","10,552","10,291",11.3,32.6,28.4,27.7
AL,Baldwin County,"14,310","40,579","46,025","46,075",9.7,27.6,31.3,31.3
AL,Barbour County,"4,901","6,486","4,566","2,220",27.0,35.7,25.1,12.2
AL,Bibb County,"2,650","7,471","3,846","1,813",16.8,47.3,24.4,11.5
AL,Blount County,"7,861","13,489","13,267","5,010",19.8,34.0,33.5,12.6
AL,Bullock County,"1,760","2,817","1,582",945,24.8,39.7,22.3,13.3
AL,Butler County,"2,141","6,091","3,421","2,235",15.4,43.9,24.6,16.1
AL,Calhoun County,"12,620","25,653","26,643","14,219",15.9,32.4,33.7,18.0
AL,Chambers County,"4,383","9,060","7,003","3,118",18.6,38.4,29.7,13.2
AL,Cherokee County,"3,692","7,157","5,417","2,407",19.8,38.3,29.0,12.9
AL,Chilton County,"5,302","13,125","7,147","4,219",17.8,44.1,24.0,14.2
AL,Choctaw County,"1,754","3,606","2,851","1,225",18.6,38.2,30.2,13.0
AL,Clarke County,"3,175","7,372","4,205","2,118",18.8,43.7,24.9,12.6
AL,Clay County,"2,275","3,366","2,700",944,24.5,36.3,29.1,10.2
AL,Cleburne County,"2,364","4,135","2,518","1,428",22.6,39.6,24.1,13.7
AL,Coffee County,"4,833","9,723","12,181","8,175",13.8,27.9,34.9,23.4
AL,Colbert County,"6,016","13,927","11,459","7,236",15.6,36.0,29.7,18.7
AL,Conecuh County,"1,703","4,315","1,881",949,19.2,48.8,21.3,10.7
AL,Coosa County,"1,675","3,178","2,424",953,20.4,38.6,29.5,11.6
AL,Covington County,"4,530","9,368","8,588","3,952",17.1,35.4,32.5,14.9
AL,Crenshaw County,"2,091","3,753","2,326","1,505",21.6,38.8,24.0,15.6
AL,Cullman County,"10,405","20,382","18,559","7,866",18.2,35.6,32.4,13.7
AL,Dale County,"4,732","10,924","12,036","5,690",14.2,32.7,36.1,17.0
AL,Dallas County,"5,135","9,368","8,076","4,021",19.3,35.2,30.4,15.1
AL,DeKalb County,"12,394","15,956","13,441","6,085",25.9,33.3,28.1,12.7
AL,Elmore County,"7,594","18,304","16,197","13,664",13.6,32.8,29.0,24.5
AL,Escambia County,"4,792","11,546","6,340","3,287",18.5,44.5,24.4,12.7
AL,Etowah County,"11,147","23,665","24,416","12,767",15.5,32.9,33.9,17.7
AL,Fayette County,"2,060","4,868","3,273","1,516",17.6,41.5,27.9,12.9
AL,Franklin County,"4,835","7,666","5,632","2,679",23.2,36.8,27.1,12.9
AL,Geneva County,"3,891","6,924","5,720","2,063",20.9,37.2,30.8,11.1
AL,Greene County,"1,406","2,149","1,689",589,24.1,36.8,29.0,10.1
AL,Hale County,"1,647","4,292","2,711","1,421",16.4,42.6,26.9,14.1
AL,Henry County,"2,412","4,081","3,487","2,187",19.8,33.5,28.7,18.0
AL,Houston County,"10,261","22,680","23,681","15,076",14.3,31.6,33.0,21.0
AL,Jackson County,"6,526","15,181","10,238","5,280",17.5,40.8,27.5,14.2
AL,Jefferson County,"46,025","120,037","137,208","145,462",10.3,26.8,30.6,32.4
AL,Lamar County,"1,741","3,950","2,967","1,235",17.6,39.9,30.0,12.5
AL,Lauderdale County,"7,979","22,812","17,453","15,185",12.6,36.0,27.5,23.9
AL,Lawrence County,"4,919","9,710","6,028","2,738",21.0,41.5,25.8,11.7
AL,Lee County,"9,049","22,855","30,707","32,377",9.5,24.1,32.3,34.1
AL,Limestone County,"10,123","19,463","18,341","16,367",15.7,30.3,28.5,25.5
AL,Lowndes County,"1,588","2,722","1,750",996,22.5,38.6,24.8,14.1
AL,Macon County,"2,215","3,658","3,752","2,510",18.3,30.1,30.9,20.7
AL,Madison County,"21,617","50,768","69,750","101,650",8.9,20.8,28.6,41.7
AL,Marengo County,"2,192","5,378","3,869","2,084",16.2,39.8,28.6,15.4
AL,Marion County,"4,343","7,435","6,770","2,806",20.3,34.8,31.7,13.1
AL,Marshall County,"12,151","19,818","19,442","12,233",19.1,31.1,30.5,19.2
AL,Mobile County,"38,247","92,986","82,763","63,703",13.8,33.5,29.8,22.9
AL,Monroe County,"2,409","6,805","3,464","2,078",16.3,46.1,23.5,14.1
AL,Montgomery County,"21,646","38,289","41,976","48,131",14.4,25.5,28.0,32.1
AL,Morgan County,"13,706","24,350","26,356","17,849",16.7,29.6,32.0,21.7
AL,Perry County,"1,275","2,293","1,334",913,21.9,39.4,22.9,15.7
AL,Pickens County,"2,829","5,352","4,425","1,959",19.4,36.7,30.4,13.5
AL,Pike County,"3,660","6,405","4,657","4,536",19.0,33.3,24.2,23.6
AL,Randolph County,"3,340","5,719","4,329","2,350",21.2,36.3,27.5,14.9
