i_state_x,area_name,less_than_a_high_school_diploma_2014_18,high_school_diploma_only_2014_18,some_college_or_associate_s_degree_2014_18,bachelor_s_degree_or_higher_2014_18,percent_of_adults_with_less_than_a_high_school_diploma_2014_18,percent_of_adults_with_a_high_school_diploma_only_2014_18,percent_of_adults_completing_some_college_or_associate_s_degree_2014_18,percent_of_adults_with_a_bachelor_s_degree_or_higher_2014_18,i_state_y,povall_2018,ci90lb_all_2018,ci90uball_2018,pctpovall_2018,ci90lballp_2018,ci90uballp_2018,pov017_2018,ci90lb017_2018,ci90ub017_2018,pctpov017_2018,ci90lb017p_2018,ci90ub017p_2018,pov517_2018,ci90lb517_2018,ci90ub517_2018,pctpov517_2018,ci90lb517p_2018,ci90ub517p_2018,medhhinc_2018,ci90lbinc_2018,ci90ubinc_2018,i_state,civilian_labor_force_2018,employed_2018,unemployed_2018,unemployment_rate_2018,median_household_income_2018,med_hh_income_percent_of_state_total_2018
IL,Stephenson County,"2,269","11,508","12,044","6,159",7.1,36,37.7,19.3,IL,"5,555","4,448","6,662",12.7,10.2,15.2,"1,960","1,438","2,482",20.9,15.3,26.5,"1,260",865,"1,655",18.1,12.4,23.8,"47,357","44,626","50,088",IL,"22,192","21,173","1,019",4.6,"47,357",72.8
IL,Tazewell County,"6,945","29,789","32,033","24,656",7.4,31.9,34.3,26.4,IL,"12,465","10,646","14,284",9.6,8.2,11,"3,587","2,822","4,352",12.2,9.6,14.8,"2,182","1,553","2,811",10,7.1,12.9,"61,508","58,797","64,219",IL,"64,991","61,874","3,117",4.8,"61,508",94.5
IL,Vermilion County,"6,353","21,917","17,008","8,032",11.9,41.1,31.9,15.1,IL,"14,256","12,425","16,087",19.3,16.8,21.8,"5,232","4,232","6,232",29.5,23.9,35.1,"3,472","2,742","4,202",27.1,21.4,32.8,"44,638","41,868","47,408",IL,"33,569","31,551","2,018",6,"44,638",68.6
IL,Wabash County,772,"2,506","3,472","1,398",9.5,30.8,42.6,17.2,IL,"1,645","1,294","1,996",14.4,11.3,17.5,482,356,608,18.8,13.9,23.7,320,225,415,17.4,12.2,22.6,"53,414","48,898","57,930",IL,"5,796","5,533",263,4.5,"53,414",82.1
IL,Whiteside County,"3,809","14,567","13,660","7,259",9.7,37.1,34.8,18.5,IL,"5,732","4,397","7,067",10.5,8,13,"2,042","1,491","2,593",17.1,12.5,21.7,"1,405",996,"1,814",15.9,11.3,20.5,"57,197","54,639","59,755",IL,"28,620","27,349","1,271",4.4,"57,197",87.9
IL,Will County,"40,752","119,769","135,512","152,229",9.1,26.7,30.2,34,IL,"44,038","38,763","49,313",6.4,5.6,7.2,"14,595","11,849","17,341",8.6,7,10.2,"10,327","8,286","12,368",7.9,6.3,9.5,"86,108","82,874","89,342",IL,"357,854","343,007","14,847",4.1,"86,108",132.3
IL,Williamson County,"4,180","14,567","18,045","10,735",8.8,30.6,38,22.6,IL,"9,356","7,697","11,015",14.4,11.8,17,"2,876","2,221","3,531",20,15.5,24.5,"1,967","1,462","2,472",18.8,14,23.6,"46,187","42,777","49,597",IL,"32,154","30,551","1,603",5,"46,187",71
IL,Winnebago County,"23,963","62,181","64,375","43,910",12.3,32,33.1,22.6,IL,"45,006","40,683","49,329",16.1,14.6,17.6,"17,728","15,599","19,857",27.2,23.9,30.5,"11,971","10,395","13,547",25.3,22,28.6,"53,795","51,486","56,104",IL,"141,472","133,567","7,905",5.6,"53,795",82.7
IL,Woodford County,"1,422","8,325","8,029","8,199",5.5,32.1,30.9,31.6,IL,"2,662","2,215","3,109",7.1,5.9,8.3,705,531,879,7.7,5.8,9.6,495,359,631,7.1,5.1,9.1,"72,247","65,319","79,175",IL,"19,093","18,326",767,4,"72,247",111
IN,Indiana,"502,624","1,475,931","1,281,352","1,139,908",11.4,33.5,29.1,25.9,IN,"844,165","826,659","861,671",13,12.7,13.3,"268,470","258,334","278,606",17.5,16.8,18.2,"180,400","171,994","188,806",16.2,15.4,17,"55,725","55,210","56,240",IN,"3,381,609","3,263,751","117,858",3.5,"55,725",100
IN,Allen County,"25,762","68,899","77,628","67,527",10.7,28.7,32.4,28.2,IN,"49,641","45,111","54,171",13.5,12.3,14.7,"19,810","17,506","22,114",21,18.6,23.4,"12,569","10,644","14,494",18.4,15.6,21.2,"54,473","52,867","56,079",IN,"184,636","178,696","5,940",3.2,"54,473",97.8
IN,Bartholomew County,"5,020","18,106","14,419","17,911",9.1,32.6,26,32.3,IN,"8,238","6,947","9,529",10.1,8.5,11.7,"2,415","1,886","2,944",12.6,9.8,15.4,"1,569","1,121","2,017",11.4,8.1,14.7,"63,067","58,636","67,498",IN,"45,116","43,908","1,208",2.7,"63,067",113.2
IN,Blackford County,914,"4,151","2,394","1,176",10.6,48.1,27.7,13.6,IN,"1,651","1,309","1,993",14.1,11.2,17,563,420,706,22.3,16.7,27.9,394,285,503,21.1,15.2,27,"45,161","40,658","49,664",IN,"5,322","5,114",208,3.9,"45,161",81
IN,Daviess County,"5,465","6,886","5,237","2,808",26.8,33.8,25.7,13.8,IN,"3,752","2,871","4,633",11.5,8.8,14.2,"1,661","1,190","2,132",17.4,12.5,22.3,"1,026",662,"1,390",14.9,9.6,20.2,"55,434","51,021","59,847",IN,"16,508","16,054",454,2.8,"55,434",99.5
IN,Dearborn County,"3,206","13,735","9,856","7,378",9.4,40.2,28.8,21.6,IN,"4,577","3,701","5,453",9.4,7.6,11.2,"1,297",978,"1,616",12,9,15,893,651,"1,135",10.9,8,13.8,"66,502","61,044","71,960",IN,"25,872","24,913",959,3.7,"66,502",119.3
IN,Delaware County,"7,620","24,588","21,655","17,253",10.7,34.6,30.5,24.3,IN,"23,799","21,382","26,216",22.5,20.2,24.8,"5,441","4,531","6,351",27,22.5,31.5,"3,517","2,793","4,241",24.2,19.2,29.2,"43,096","39,846","46,346",IN,"54,144","51,938","2,206",4.1,"43,096",77.3
IN,Dubois County,"2,841","11,137","8,134","6,325",10,39.2,28.6,22.2,IN,"3,155","2,584","3,726",7.6,6.2,9,919,734,"1,104",9.1,7.3,10.9,693,553,833,9.5,7.6,11.4,"62,126","56,653","67,599",IN,"23,328","22,742",586,2.5,"62,126",111.5
IN,Elkhart County,"24,218","45,368","34,459","24,770",18.8,35.2,26.8,19.2,IN,"23,202","20,205","26,199",11.5,10,13,"8,810","7,277","10,343",16,13.2,18.8,"5,685","4,544","6,826",14.2,11.3,17.1,"59,251","55,587","62,915",IN,"115,999","112,944","3,055",2.6,"59,251",106.3
IN,Fountain County,"1,301","5,097","3,404","1,728",11.3,44.2,29.5,15,IN,"1,799","1,409","2,189",11.2,8.8,13.6,580,429,731,16.8,12.4,21.2,379,265,493,14.7,10.3,19.1,"53,493","49,674","57,312",IN,"8,095","7,798",297,3.7,"53,493",96
IN,Gibson County,"2,072","9,075","7,726","3,989",9.1,39.7,33.8,17.4,IN,"3,460","2,851","4,069",10.6,8.7,12.5,895,658,"1,132",11.7,8.6,14.8,597,409,785,10.7,7.3,14.1,"56,960","51,478","62,442",IN,"19,427","18,902",525,2.7,"56,960",102.2
IN,Harrison County,"3,049","11,148","8,781","4,836",11,40.1,31.6,17.4,IN,"3,690","2,942","4,438",9.3,7.4,11.2,"1,131",832,"1,430",12.7,9.3,16.1,787,556,"1,018",12.1,8.6,15.6,"60,379","56,176","64,582",IN,"20,413","19,699",714,3.5,"60,379",108.4
IN,Hendricks County,"7,105","29,085","31,869","38,805",6.6,27.2,29.8,36.3,IN,"9,657","8,042","11,272",5.9,4.9,6.9,"2,713","2,118","3,308",6.6,5.2,8,"1,919","1,463","2,375",6.1,4.6,7.6,"80,834","78,407","83,261",IN,"89,577","86,951","2,626",2.9,"80,834",145.1
IN,Huntington County,"2,253","10,448","7,474","4,727",9,42,30,19,IN,"3,532","2,864","4,200",10.1,8.2,12,"1,079",817,"1,341",14.2,10.8,17.6,712,506,918,12.8,9.1,16.5,"53,809","50,218","57,400",IN,"18,378","17,719",659,3.6,"53,809",96.6
IN,Jay County,"2,101","6,504","3,717","1,460",15.2,47.2,27,10.6,IN,"2,653","2,126","3,180",13,10.4,15.6,"1,024",743,"1,305",20,14.5,25.5,692,470,914,18.9,12.8,25,"48,392","43,669","53,115",IN,"9,777","9,449",328,3.4,"48,392",86.8
IN,Jennings County,"2,737","8,628","5,350","2,082",14.6,45.9,28.5,11.1,IN,"4,026","3,365","4,687",14.8,12.4,17.2,"1,344","1,072","1,616",21.9,17.5,26.3,860,643,"1,077",19,14.2,23.8,"51,560","47,298","55,822",IN,"13,599","13,099",500,3.7,"51,560",92.5
IN,Kosciusko County,"7,595","18,426","14,431","11,879",14.5,35.2,27.6,22.7,IN,"6,949","5,702","8,196",9,7.4,10.6,"2,277","1,735","2,819",12.3,9.4,15.2,"1,541","1,113","1,969",11.6,8.4,14.8,"57,367","53,673","61,061",IN,"42,731","41,592","1,139",2.7,"57,367",102.9
IN,Miami County,"3,618","10,615","7,566","3,173",14.5,42.5,30.3,12.7,IN,"5,172","4,420","5,924",16.1,13.8,18.4,"1,632","1,302","1,962",22.3,17.8,26.8,"1,012",753,"1,271",18.5,13.8,23.2,"47,624","43,376","51,872",IN,"15,830","15,188",642,4.1,"47,624",85.5
IN,Noble County,"4,985","12,780","9,185","4,481",15.9,40.7,29.2,14.3,IN,"4,224","3,304","5,144",9.1,7.1,11.1,"1,367",994,"1,740",12.1,8.8,15.4,923,637,"1,209",11.2,7.7,14.7,"61,341","58,493","64,189",IN,"23,649","22,947",702,3,"61,341",110.1
IN,Ohio County,541,"2,005","1,244",603,12.3,45.6,28.3,13.7,IN,560,439,681,9.7,7.6,11.8,137,101,173,12.6,9.3,15.9,90,63,117,10.9,7.6,14.2,"58,022","52,281","63,763",IN,"3,189","3,075",114,3.6,"58,022",104.1
IN,Owen County,"2,215","6,364","4,469","1,883",14.8,42.6,29.9,12.6,IN,"2,597","2,101","3,093",12.6,10.2,15,833,609,"1,057",19.5,14.3,24.7,587,411,763,18.5,12.9,24.1,"49,731","44,877","54,585",IN,"9,338","8,926",412,4.4,"49,731",89.2
IN,Parke County,"1,580","5,215","3,754","1,468",13.1,43.4,31.2,12.2,IN,"2,406","1,896","2,916",15.7,12.4,19,848,632,"1,064",23.7,17.7,29.7,583,414,752,22.8,16.2,29.4,"49,639","44,695","54,583",IN,"7,152","6,861",291,4.1,"49,639",89.1
IN,Porter County,"7,858","39,600","34,835","32,394",6.9,34.5,30.4,28.2,IN,"14,826","12,810","16,842",8.9,7.7,10.1,"4,157","3,367","4,947",11.3,9.1,13.5,"3,072","2,482","3,662",11.2,9.1,13.3,"69,298","64,412","74,184",IN,"87,378","83,988","3,390",3.9,"69,298",124.4
IN,Posey County,"1,204","6,898","6,117","3,722",6.7,38.4,34.1,20.7,IN,"2,311","1,870","2,752",9.2,7.5,10.9,633,481,785,11.4,8.7,14.1,428,312,544,10.3,7.5,13.1,"68,162","61,447","74,877",IN,"13,715","13,323",392,2.9,"68,162",122.3
IN,Ripley County,"2,047","8,359","5,341","3,480",10.6,43.5,27.8,18.1,IN,"3,117","2,587","3,647",11.1,9.2,13,994,778,"1,210",15,11.7,18.3,727,563,891,14.7,11.4,18,"57,436","52,333","62,539",IN,"14,106","13,592",514,3.6,"57,436",103.1
IN,Rush County,"1,770","5,300","2,955","1,500",15.4,46,25.6,13,IN,"1,760","1,365","2,155",10.7,8.3,13.1,581,420,742,15.8,11.4,20.2,408,281,535,15,10.3,19.7,"53,271","48,294","58,248",IN,"9,037","8,775",262,2.9,"53,271",95.6
IN,St. Joseph County,"20,253","53,751","50,092","51,236",11.6,30.7,28.6,29.2,IN,"35,068","31,248","38,888",13.5,12,15,"11,030","8,928","13,132",17.7,14.3,21.1,"7,198","5,595","8,801",15.9,12.4,19.4,"54,674","51,197","58,151",IN,"136,494","131,569","4,925",3.6,"54,674",98.1
IN,Spencer County,"1,423","6,465","4,364","2,143",9.9,44.9,30.3,14.9,IN,"1,839","1,461","2,217",9.2,7.3,11.1,514,387,641,11.8,8.9,14.7,359,261,457,10.9,7.9,13.9,"56,862","51,683","62,041",IN,"10,979","10,614",365,3.3,"56,862",102
IN,Starke County,"2,515","6,636","4,924","1,700",15.9,42.1,31.2,10.8,IN,"2,512","1,901","3,123",11,8.3,13.7,986,697,"1,275",19.3,13.7,24.9,752,524,980,19.9,13.9,25.9,"49,972","46,640","53,304",IN,"10,409","9,949",460,4.4,"49,972",89.7
IN,Steuben County,"2,340","9,048","7,384","4,879",9.9,38.3,31.2,20.6,IN,"3,638","2,948","4,328",11,8.9,13.1,"1,104",840,"1,368",15.9,12.1,19.7,729,524,934,14.7,10.6,18.8,"58,295","54,103","62,487",IN,"20,315","19,766",549,2.7,"58,295",104.6
IN,Sullivan County,"1,675","6,652","4,942","1,607",11.3,44.7,33.2,10.8,IN,"2,513","1,942","3,084",13.7,10.6,16.8,707,509,905,18.4,13.3,23.5,491,342,640,17.5,12.2,22.8,"47,554","43,090","52,018",IN,"8,597","8,191",406,4.7,"47,554",85.3
IN,Switzerland County,"1,213","3,495","1,769",711,16.9,48.6,24.6,9.9,IN,"1,873","1,530","2,216",17.7,14.4,21,770,603,937,29.8,23.3,36.3,540,410,670,28.3,21.5,35.1,"47,713","42,594","52,832",IN,"5,072","4,872",200,3.9,"47,713",85.6
IN,Tippecanoe County,"8,638","26,092","30,267","39,360",8.3,25,29,37.7,IN,"32,114","29,339","34,889",18.1,16.5,19.7,"5,762","4,550","6,974",14.7,11.6,17.8,"3,776","2,906","4,646",13.6,10.5,16.7,"52,269","48,477","56,061",IN,"98,133","94,963","3,170",3.2,"52,269",93.8
IN,Tipton County,"1,267","4,480","2,651","2,507",11.6,41.1,24.3,23,IN,"1,250",991,"1,509",8.4,6.7,10.1,337,249,425,11,8.1,13.9,224,157,291,9.9,6.9,12.9,"60,896","55,733","66,059",IN,"9,234","8,973",261,2.8,"60,896",109.3
IN,Vanderburgh County,"12,694","40,163","38,332","32,555",10.3,32.5,31,26.3,IN,"26,349","23,159","29,539",15.1,13.3,16.9,"7,663","6,318","9,008",20.1,16.6,23.6,"5,309","4,250","6,368",19.4,15.5,23.3,"50,500","48,389","52,611",IN,"95,029","91,968","3,061",3.2,"50,500",90.6
IN,Vermillion County,"1,065","4,850","3,596","1,469",9.7,44.2,32.8,13.4,IN,"2,306","1,922","2,690",15.2,12.7,17.7,676,528,824,20.5,16,25,475,365,585,19.4,14.9,23.9,"49,287","44,213","54,361",IN,"7,161","6,762",399,5.6,"49,287",88.4
IN,Vigo County,"8,236","22,265","21,677","16,918",11.9,32.2,31.4,24.5,IN,"18,824","16,739","20,909",19.2,17.1,21.3,"4,612","3,675","5,549",21.6,17.2,26,"2,758","1,991","3,525",18.2,13.1,23.3,"48,335","46,002","50,668",IN,"49,125","46,941","2,184",4.4,"48,335",86.7
IN,Warrick County,"2,967","13,321","13,586","12,541",7,31.4,32,29.6,IN,"4,373","3,492","5,254",7.1,5.7,8.5,"1,169",840,"1,498",8,5.8,10.2,804,545,"1,063",7.1,4.8,9.4,"75,534","69,373","81,695",IN,"33,209","32,221",988,3,"75,534",135.5
IN,Wells County,"1,675","7,525","6,220","3,406",8.9,40,33,18.1,IN,"2,344","1,828","2,860",8.5,6.6,10.4,817,595,"1,039",12,8.7,15.3,552,385,719,11.1,7.7,14.5,"60,010","55,087","64,933",IN,"14,396","13,985",411,2.9,"60,010",107.7
IN,Whitley County,"1,699","9,240","7,469","4,854",7.3,39.7,32.1,20.9,IN,"2,377","1,864","2,890",7.1,5.6,8.6,734,552,916,9.5,7.1,11.9,478,332,624,8.5,5.9,11.1,"67,758","63,082","72,434",IN,"17,671","17,157",514,2.9,"67,758",121.6
IA,Iowa,"166,709","648,137","679,510","587,017",8,31.1,32.6,28.2,IA,"342,574","332,902","352,246",11.2,10.9,11.5,"96,859","91,572","102,146",13.5,12.8,14.2,"64,851","60,212","69,490",12.5,11.6,13.4,"60,071","59,227","60,915",IA,"1,690,960","1,646,708","44,252",2.6,"60,071",100
IA,Adair County,295,"2,204","1,825",790,5.8,43.1,35.7,15.4,IA,667,511,823,9.7,7.4,12,196,140,252,13,9.2,16.8,131,89,173,11.7,8,15.4,"54,282","48,672","59,892",IA,"4,136","4,035",101,2.4,"54,282",90.4
IA,Allamakee County,"1,196","3,770","2,930","1,792",12.3,38.9,30.2,18.5,IA,"1,581","1,240","1,922",11.7,9.2,14.2,579,426,732,18.1,13.3,22.9,411,291,531,18.3,13,23.6,"53,359","48,672","58,046",IA,"7,374","7,141",233,3.2,"53,359",88.8
IA,Appanoose County,815,"3,303","3,276","1,523",9.1,37,36.7,17.1,IA,"1,864","1,448","2,280",15.2,11.8,18.6,611,437,785,22.5,16.1,28.9,421,287,555,21,14.3,27.7,"44,298","39,986","48,610",IA,"5,890","5,687",203,3.4,"44,298",73.7
IA,Audubon County,421,"1,657","1,457",602,10.2,40.1,35.2,14.6,IA,589,457,721,11,8.5,13.5,201,145,257,18.1,13.1,23.1,135,93,177,17.4,11.9,22.9,"51,210","45,878","56,542",IA,"3,090","3,012",78,2.5,"51,210",85.2
IA,Black Hawk County,"7,270","25,266","27,185","23,964",8.7,30.2,32.5,28.6,IA,"20,811","18,590","23,032",16.3,14.6,18,"5,324","4,404","6,244",18.8,15.6,22,"3,523","2,796","4,250",17.7,14.1,21.3,"52,320","50,181","54,459",IA,"68,546","66,567","1,979",2.9,"52,320",87.1
IA,Bremer County,623,"5,277","5,474","4,952",3.8,32.3,33.5,30.3,IA,"1,547","1,213","1,881",6.6,5.2,8,350,253,447,6.4,4.6,8.2,239,166,312,6,4.2,7.8,"74,646","71,013","78,279",IA,"13,807","13,516",291,2.1,"74,646",124.3
IA,Buchanan County,821,"5,433","4,835","2,875",5.9,38.9,34.6,20.6,IA,"2,224","1,781","2,667",10.6,8.5,12.7,807,601,"1,013",15,11.2,18.8,548,390,706,13.9,9.9,17.9,"59,724","54,192","65,256",IA,"11,221","10,924",297,2.6,"59,724",99.4
IA,Buena Vista County,"2,840","3,762","3,658","2,506",22.2,29.5,28.7,19.6,IA,"1,932","1,503","2,361",10.2,7.9,12.5,670,473,867,13.6,9.6,17.6,439,289,589,12.8,8.4,17.2,"52,683","47,716","57,650",IA,"11,541","11,292",249,2.2,"52,683",87.7
IA,Cedar County,665,"4,667","4,670","2,981",5.1,35.9,36,23,IA,"1,391","1,097","1,685",7.6,6,9.2,387,291,483,9.5,7.1,11.9,252,178,326,8.3,5.9,10.7,"67,597","61,046","74,148",IA,"10,785","10,514",271,2.5,"67,597",112.5
IA,Cerro Gordo County,"2,118","9,449","12,138","6,942",6.9,30.8,39.6,22.7,IA,"4,316","3,431","5,201",10.4,8.3,12.5,"1,146",811,"1,481",13.3,9.4,17.2,770,513,"1,027",12.3,8.2,16.4,"51,939","48,171","55,707",IA,"23,294","22,665",629,2.7,"51,939",86.5
IA,Chickasaw County,645,"3,627","2,650","1,412",7.7,43.5,31.8,16.9,IA,"1,019",771,"1,267",8.6,6.5,10.7,330,231,429,11.9,8.3,15.5,226,150,302,11.1,7.4,14.8,"64,190","58,883","69,497",IA,"6,417","6,239",178,2.8,"64,190",106.9
IA,Davis County,937,"1,888","1,614","1,145",16.8,33.8,28.9,20.5,IA,"1,130",878,"1,382",12.7,9.9,15.5,496,358,634,18.9,13.6,24.2,355,244,466,19.6,13.5,25.7,"54,830","49,672","59,988",IA,"4,211","4,094",117,2.8,"54,830",91.3
IA,Des Moines County,"2,321","9,033","10,517","5,636",8.4,32.8,38.2,20.5,IA,"4,887","3,913","5,861",12.7,10.2,15.2,"1,698","1,227","2,169",19.8,14.3,25.3,"1,171",804,"1,538",18.6,12.8,24.4,"51,805","47,344","56,266",IA,"19,441","18,784",657,3.4,"51,805",86.2
IA,Dickinson County,535,"3,558","4,609","3,972",4.2,28.1,36.4,31.3,IA,"1,330","1,064","1,596",7.8,6.2,9.4,300,220,380,9.3,6.8,11.8,189,132,246,7.9,5.5,10.3,"55,603","51,199","60,007",IA,"9,844","9,522",322,3.3,"55,603",92.6
IA,Dubuque County,"4,911","21,282","18,703","19,669",7.6,33,29,30.5,IA,"10,555","9,156","11,954",11.3,9.8,12.8,"2,618","2,005","3,231",12.1,9.3,14.9,"1,654","1,214","2,094",10.6,7.8,13.4,"60,367","57,168","63,566",IA,"55,332","53,949","1,383",2.5,"60,367",100.5
IA,Emmet County,615,"2,155","2,390","1,305",9.5,33.3,37,20.2,IA,993,773,"1,213",11.2,8.7,13.7,296,215,377,16.6,12.1,21.1,206,142,270,16.1,11.1,21.1,"51,497","46,147","56,847",IA,"5,298","5,148",150,2.8,"51,497",85.7
IA,Guthrie County,539,"2,904","2,594","1,486",7.2,38.6,34.5,19.8,IA,"1,198",997,"1,399",11.4,9.5,13.3,329,260,398,14,11.1,16.9,206,150,262,11.7,8.6,14.8,"60,306","54,375","66,237",IA,"5,539","5,390",149,2.7,"60,306",100.4
IA,Ida County,315,"1,845","1,743",917,6.5,38.3,36.2,19,IA,693,552,834,10.3,8.2,12.4,206,148,264,12.6,9.1,16.1,140,96,184,11.6,8,15.2,"60,312","55,954","64,670",IA,"4,092","4,009",83,2,"60,312",100.4
IA,Iowa County,696,"4,222","4,145","2,142",6.2,37.7,37,19.1,IA,"1,177",947,"1,407",7.4,5.9,8.9,299,217,381,8.1,5.9,10.3,196,133,259,7.2,4.9,9.5,"64,188","57,782","70,594",IA,"10,427","10,204",223,2.1,"64,188",106.9
IA,Keokuk County,534,"2,948","2,376","1,304",7.5,41.2,33.2,18.2,IA,"1,258",996,"1,520",12.5,9.9,15.1,416,298,534,18.1,13,23.2,274,183,365,16.1,10.8,21.4,"52,122","47,652","56,592",IA,"5,149","4,996",153,3,"52,122",86.8
IA,Kossuth County,597,"3,993","4,084","1,944",5.6,37.6,38.5,18.3,IA,"1,477","1,176","1,778",10.1,8,12.2,388,278,498,12.1,8.7,15.5,266,179,353,11.3,7.6,15,"55,486","51,638","59,334",IA,"8,508","8,330",178,2.1,"55,486",92.4
IA,Linn County,"7,943","40,304","51,481","49,199",5.3,27.1,34.6,33,IA,"20,652","18,180","23,124",9.4,8.3,10.5,"5,866","4,655","7,077",11.4,9,13.8,"3,953","2,998","4,908",10.7,8.1,13.3,"64,878","61,674","68,082",IA,"120,292","116,835","3,457",2.9,"64,878",108
IA,Louisa County,"1,393","2,812","2,402","1,096",18.1,36.5,31.2,14.2,IA,"1,183",945,"1,421",10.7,8.5,12.9,343,254,432,13.8,10.2,17.4,224,154,294,12.5,8.6,16.4,"49,585","45,422","53,748",IA,"6,055","5,890",165,2.7,"49,585",82.5
IA,Lucas County,429,"2,465","2,026","1,010",7.2,41.6,34.2,17,IA,"1,290","1,031","1,549",15.1,12.1,18.1,473,343,603,24.1,17.5,30.7,343,239,447,24.6,17.2,32,"49,956","45,451","54,461",IA,"4,493","4,401",92,2,"49,956",83.2
IA,Lyon County,719,"2,776","2,490","1,626",9.4,36.5,32.7,21.4,IA,806,609,"1,003",6.9,5.2,8.6,316,222,410,9.5,6.7,12.3,222,147,297,9.2,6.1,12.3,"69,048","62,663","75,433",IA,"6,983","6,873",110,1.6,"69,048",114.9
IA,Mahaska County,"1,317","5,799","4,478","3,334",8.8,38.8,30,22.3,IA,"2,639","2,144","3,134",12.4,10.1,14.7,806,610,"1,002",15.5,11.7,19.3,497,344,650,13.3,9.2,17.4,"56,492","52,570","60,414",IA,"11,701","11,402",299,2.6,"56,492",94
IA,Mills County,676,"3,562","3,620","2,442",6.6,34.6,35.1,23.7,IA,"1,257",967,"1,547",8.6,6.6,10.6,363,260,466,10.5,7.5,13.5,240,163,317,9.2,6.2,12.2,"64,271","57,900","70,642",IA,"7,269","7,111",158,2.2,"64,271",107
IA,Monona County,488,"2,541","2,302","1,067",7.6,39.7,36,16.7,IA,"1,171",956,"1,386",13.9,11.4,16.4,347,260,434,18.5,13.9,23.1,224,155,293,16.3,11.3,21.3,"50,530","46,706","54,354",IA,"4,453","4,327",126,2.8,"50,530",84.1
IA,Muscatine County,"3,544","9,908","8,817","6,283",12.4,34.7,30.9,22,IA,"4,973","4,052","5,894",11.8,9.6,14,"1,669","1,271","2,067",16,12.2,19.8,"1,118",827,"1,409",14.7,10.9,18.5,"58,465","53,306","63,624",IA,"21,771","21,173",598,2.7,"58,465",97.3
IA,O'Brien County,738,"3,650","3,314","1,910",7.7,38,34.5,19.9,IA,"1,231",973,"1,489",9.1,7.2,11,339,236,442,10.5,7.3,13.7,235,156,314,10,6.6,13.4,"53,147","49,826","56,468",IA,"8,109","7,943",166,2,"53,147",88.5
IA,Page County,"1,014","3,854","3,888","2,374",9.1,34.6,34.9,21.3,IA,"1,858","1,457","2,259",13.5,10.6,16.4,524,374,674,19.5,13.9,25.1,338,229,447,17.8,12.1,23.5,"54,313","50,337","58,289",IA,"6,394","6,229",165,2.6,"54,313",90.4
IA,Palo Alto County,410,"1,816","2,473","1,569",6.5,29,39.5,25,IA,834,624,"1,044",9.7,7.3,12.1,282,202,362,14.1,10.1,18.1,191,130,252,13.2,9,17.4,"55,322","50,364","60,280",IA,"4,863","4,753",110,2.3,"55,322",92.1
IA,Plymouth County,"1,180","5,664","6,391","3,528",7,33.8,38.1,21,IA,"1,999","1,607","2,391",8.1,6.5,9.7,578,426,730,9.4,6.9,11.9,407,293,521,8.9,6.4,11.4,"66,360","60,243","72,477",IA,"14,664","14,375",289,2,"66,360",110.5
IA,Pocahontas County,426,"1,916","1,893",729,8.6,38.6,38.1,14.7,IA,731,560,902,11.1,8.5,13.7,263,188,338,17.5,12.5,22.5,184,125,243,16.5,11.2,21.8,"55,865","51,814","59,916",IA,"4,345","4,264",81,1.9,"55,865",93
IA,Pottawattamie County,"6,653","20,861","22,180","13,396",10.5,33.1,35.2,21.2,IA,"10,760","9,182","12,338",11.8,10.1,13.5,"3,235","2,473","3,997",15.1,11.6,18.6,"2,035","1,456","2,614",13,9.3,16.7,"56,337","52,373","60,301",IA,"47,670","46,511","1,159",2.4,"56,337",93.8
IA,Poweshiek County,846,"4,531","3,676","3,028",7,37.5,30.4,25.1,IA,"1,795","1,374","2,216",10.6,8.1,13.1,443,311,575,12.3,8.6,16,303,201,405,11.4,7.6,15.2,"56,170","50,777","61,563",IA,"10,461","10,207",254,2.4,"56,170",93.5
IA,Ringgold County,268,"1,351","1,140",715,7.7,38.9,32.8,20.6,IA,684,515,853,14.3,10.8,17.8,265,188,342,23.1,16.4,29.8,182,123,241,21.6,14.6,28.6,"48,754","44,385","53,123",IA,"2,526","2,454",72,2.9,"48,754",81.2
IA,Sac County,521,"2,606","2,433","1,441",7.4,37.2,34.8,20.6,IA,"1,063",845,"1,281",11.2,8.9,13.5,313,227,399,14.6,10.6,18.6,208,142,274,13.4,9.2,17.6,"56,698","51,494","61,902",IA,"5,294","5,165",129,2.4,"56,698",94.4
IA,Sioux County,"1,885","6,450","6,449","5,785",9.2,31.4,31.4,28.1,IA,"2,069","1,572","2,566",6.3,4.8,7.8,673,478,868,7.2,5.1,9.3,458,309,607,6.7,4.5,8.9,"70,162","63,614","76,710",IA,"20,487","20,110",377,1.8,"70,162",116.8
IA,Story County,"1,474","9,002","14,101","25,714",2.9,17.9,28,51.1,IA,"16,410","15,147","17,673",18.9,17.4,20.4,"1,327",996,"1,658",8.3,6.2,10.4,762,521,"1,003",6.6,4.5,8.7,"57,464","53,254","61,674",IA,"57,864","56,909",955,1.7,"57,464",95.7
IA,Tama County,"1,053","4,654","4,045","1,875",9.1,40,34.8,16.1,IA,"1,896","1,534","2,258",11.4,9.2,13.6,609,450,768,15.2,11.2,19.2,422,303,541,14.5,10.4,18.6,"56,954","51,656","62,252",IA,"9,487","9,196",291,3.1,"56,954",94.8
