i_state_x,area_name,less_than_a_high_school_diploma_2014_18,high_school_diploma_only_2014_18,some_college_or_associate_s_degree_2014_18,bachelor_s_degree_or_higher_2014_18,percent_of_adults_with_less_than_a_high_school_diploma_2014_18,percent_of_adults_with_a_high_school_diploma_only_2014_18,percent_of_adults_completing_some_college_or_associate_s_degree_2014_18,percent_of_adults_with_a_bachelor_s_degree_or_higher_2014_18,i_state_y,povall_2018,ci90lb_all_2018,ci90uball_2018,pctpovall_2018,ci90lballp_2018,ci90uballp_2018,pov017_2018,ci90lb017_2018,ci90ub017_2018,pctpov017_2018,ci90lb017p_2018,ci90ub017p_2018,pov517_2018,ci90lb517_2018,ci90ub517_2018,pctpov517_2018,ci90lb517p_2018,ci90ub517p_2018,medhhinc_2018,ci90lbinc_2018,ci90ubinc_2018,i_state,civilian_labor_force_2018,employed_2018,unemployed_2018,unemployment_rate_2018,median_household_income_2018,med_hh_income_percent_of_state_total_2018
AL,Clarke County,"3,175","7,372","4,205","2,118",18.8,43.7,24.9,12.6,AL,"5,381","4,430","6,332",22.8,18.8,26.8,"1,625","1,203","2,047",31.7,23.5,39.9,"1,185",853,"1,517",31.4,22.6,40.2,"40,741","36,839","44,643",AL,"7,659","7,096",563,7.4,"40,741",81.7
AL,Clay County,"2,275","3,366","2,700",944,24.5,36.3,29.1,10.2,AL,"2,285","1,811","2,759",17.6,13.9,21.3,684,503,865,25.8,19,32.6,493,347,639,25,17.6,32.4,"39,201","35,145","43,257",AL,"6,010","5,784",226,3.8,"39,201",78.6
AL,Cleburne County,"2,364","4,135","2,518","1,428",22.6,39.6,24.1,13.7,AL,"2,356","1,859","2,853",16,12.6,19.4,764,574,954,22.9,17.2,28.6,563,419,707,22.9,17.1,28.7,"46,495","42,459","50,531",AL,"5,795","5,552",243,4.2,"46,495",93.2
AL,Coffee County,"4,833","9,723","12,181","8,175",13.8,27.9,34.9,23.4,AL,"7,053","5,821","8,285",13.8,11.4,16.2,"2,640","2,037","3,243",21.9,16.9,26.9,"1,794","1,305","2,283",20.1,14.6,25.6,"55,122","51,227","59,017",AL,"21,007","20,193",814,3.9,"55,122",110.5
AL,Colbert County,"6,016","13,927","11,459","7,236",15.6,36,29.7,18.7,AL,"7,459","6,059","8,859",13.8,11.2,16.4,"2,345","1,714","2,976",21,15.3,26.7,"1,567","1,089","2,045",19.3,13.4,25.2,"49,055","46,196","51,914",AL,"23,541","22,478","1,063",4.5,"49,055",98.3
AL,Conecuh County,"1,703","4,315","1,881",949,19.2,48.8,21.3,10.7,AL,"2,979","2,247","3,711",24.4,18.4,30.4,"1,005",730,"1,280",40.1,29.1,51.1,728,508,948,38.9,27.2,50.6,"32,613","29,644","35,582",AL,"4,512","4,281",231,5.1,"32,613",65.4
AL,Coosa County,"1,675","3,178","2,424",953,20.4,38.6,29.5,11.6,AL,"1,973","1,505","2,441",18.9,14.4,23.4,526,387,665,30.1,22.1,38.1,385,276,494,30.5,21.9,39.1,"42,423","38,174","46,672",AL,"4,426","4,246",180,4.1,"42,423",85
AL,Covington County,"4,530","9,368","8,588","3,952",17.1,35.4,32.5,14.9,AL,"7,239","6,065","8,413",19.9,16.7,23.1,"2,341","1,847","2,835",29.5,23.3,35.7,"1,745","1,362","2,128",30.2,23.6,36.8,"40,203","37,062","43,344",AL,"15,652","14,945",707,4.5,"40,203",80.6
AL,Crenshaw County,"2,091","3,753","2,326","1,505",21.6,38.8,24,15.6,AL,"2,661","2,057","3,265",19.5,15.1,23.9,957,697,"1,217",30.8,22.4,39.2,681,475,887,29.3,20.4,38.2,"39,057","34,833","43,281",AL,"6,369","6,114",255,4,"39,057",78.3
AL,Cullman County,"10,405","20,382","18,559","7,866",18.2,35.6,32.4,13.7,AL,"11,925","9,926","13,924",14.5,12.1,16.9,"3,604","2,745","4,463",19.7,15,24.4,"2,624","1,953","3,295",19.8,14.7,24.9,"45,796","42,695","48,897",AL,"38,113","36,879","1,234",3.2,"45,796",91.8
AL,Dale County,"4,732","10,924","12,036","5,690",14.2,32.7,36.1,17,AL,"7,743","6,338","9,148",16.2,13.3,19.1,"2,698","2,000","3,396",24.4,18.1,30.7,"1,911","1,381","2,441",24.4,17.6,31.2,"45,309","40,965","49,653",AL,"20,257","19,424",833,4.1,"45,309",90.8
AL,Dallas County,"5,135","9,368","8,076","4,021",19.3,35.2,30.4,15.1,AL,"11,841","9,598","14,084",31.4,25.5,37.3,"4,295","3,359","5,231",48,37.6,58.4,"3,013","2,261","3,765",45.3,34,56.6,"34,035","31,607","36,463",AL,"14,880","13,927",953,6.4,"34,035",68.2
AL,DeKalb County,"12,394","15,956","13,441","6,085",25.9,33.3,28.1,12.7,AL,"14,975","13,282","16,668",21.3,18.9,23.7,"4,990","4,274","5,706",29.6,25.4,33.8,"3,773","3,275","4,271",29.6,25.7,33.5,"39,491","36,085","42,897",AL,"30,289","29,153","1,136",3.8,"39,491",79.2
AL,Elmore County,"7,594","18,304","16,197","13,664",13.6,32.8,29,24.5,AL,"8,559","6,765","10,353",11.2,8.9,13.5,"2,924","2,112","3,736",16.3,11.8,20.8,"2,100","1,463","2,737",15.8,11,20.6,"60,367","56,528","64,206",AL,"37,590","36,313","1,277",3.4,"60,367",121
AL,Escambia County,"4,792","11,546","6,340","3,287",18.5,44.5,24.4,12.7,AL,"8,022","6,521","9,523",23.6,19.2,28,"2,648","2,061","3,235",32.8,25.5,40.1,"1,867","1,402","2,332",31.5,23.7,39.3,"38,418","34,921","41,915",AL,"14,423","13,780",643,4.5,"38,418",77
AL,Etowah County,"11,147","23,665","24,416","12,767",15.5,32.9,33.9,17.7,AL,"17,509","15,140","19,878",17.5,15.1,19.9,"6,191","5,179","7,203",28.8,24.1,33.5,"3,930","3,063","4,797",25.1,19.6,30.6,"44,903","41,940","47,866",AL,"43,252","41,502","1,750",4,"44,903",90
AL,Fayette County,"2,060","4,868","3,273","1,516",17.6,41.5,27.9,12.9,AL,"3,801","3,185","4,417",23.5,19.7,27.3,"1,279","1,062","1,496",37.4,31.1,43.7,982,819,"1,145",39.1,32.6,45.6,"39,254","35,024","43,484",AL,"6,529","6,267",262,4,"39,254",78.7
AL,Franklin County,"4,835","7,666","5,632","2,679",23.2,36.8,27.1,12.9,AL,"5,939","4,833","7,045",19.2,15.6,22.8,"2,270","1,782","2,758",30.1,23.6,36.6,"1,589","1,203","1,975",28.8,21.8,35.8,"39,388","35,417","43,359",AL,"14,291","13,768",523,3.7,"39,388",79
AL,Geneva County,"3,891","6,924","5,720","2,063",20.9,37.2,30.8,11.1,AL,"5,537","4,537","6,537",21.3,17.5,25.1,"1,676","1,242","2,110",29.5,21.8,37.2,"1,149",814,"1,484",26.8,19,34.6,"37,823","33,925","41,721",AL,"10,872","10,450",422,3.9,"37,823",75.8
AL,Greene County,"1,406","2,149","1,689",589,24.1,36.8,29,10.1,AL,"2,459","1,877","3,041",30.1,23,37.2,796,561,"1,031",44,31,57,571,387,755,42.5,28.8,56.2,"28,524","25,352","31,696",AL,"2,860","2,672",188,6.6,"28,524",57.2
AL,Hale County,"1,647","4,292","2,711","1,421",16.4,42.6,26.9,14.1,AL,"3,705","2,931","4,479",25.6,20.3,30.9,"1,194",880,"1,508",35.6,26.2,45,814,564,"1,064",34,23.5,44.5,"34,724","30,954","38,494",AL,"5,979","5,680",299,5,"34,724",69.6
AL,Henry County,"2,412","4,081","3,487","2,187",19.8,33.5,28.7,18,AL,"3,037","2,388","3,686",17.9,14.1,21.7,945,706,"1,184",27.2,20.3,34.1,630,446,814,24.4,17.3,31.5,"46,027","41,394","50,660",AL,"6,830","6,531",299,4.4,"46,027",92.3
AL,Houston County,"10,261","22,680","23,681","15,076",14.3,31.6,33,21,AL,"17,032","14,978","19,086",16.5,14.5,18.5,"5,158","4,126","6,190",21.9,17.5,26.3,"3,759","2,933","4,585",21.7,16.9,26.5,"47,993","45,283","50,703",AL,"45,580","43,764","1,816",4,"47,993",96.2
AL,Jackson County,"6,526","15,181","10,238","5,280",17.5,40.8,27.5,14.2,AL,"10,046","8,671","11,421",19.7,17,22.4,"2,834","2,305","3,363",26.8,21.8,31.8,"1,801","1,358","2,244",22.9,17.3,28.5,"41,929","37,906","45,952",AL,"23,412","22,468",944,4,"41,929",84.1
AL,Jefferson County,"46,025","120,037","137,208","145,462",10.3,26.8,30.6,32.4,AL,"103,604","95,029","112,179",16.1,14.8,17.4,"33,329","29,089","37,569",22.6,19.7,25.5,"22,431","19,003","25,859",21.1,17.9,24.3,"55,013","53,290","56,736",AL,"315,793","304,248","11,545",3.7,"55,013",110.3
AL,Lamar County,"1,741","3,950","2,967","1,235",17.6,39.9,30,12.5,AL,"2,374","1,826","2,922",17.4,13.4,21.4,739,531,947,25.3,18.2,32.4,503,344,662,23.1,15.8,30.4,"40,936","36,518","45,354",AL,"5,743","5,528",215,3.7,"40,936",82.1
AL,Lauderdale County,"7,979","22,812","17,453","15,185",12.6,36,27.5,23.9,AL,"12,645","10,581","14,709",14,11.7,16.3,"3,196","2,413","3,979",17.9,13.5,22.3,"2,113","1,523","2,703",16,11.5,20.5,"48,707","44,800","52,614",AL,"42,390","40,644","1,746",4.1,"48,707",97.6
AL,Lawrence County,"4,919","9,710","6,028","2,738",21,41.5,25.8,11.7,AL,"6,297","5,272","7,322",19.3,16.2,22.4,"2,200","1,813","2,587",31.4,25.9,36.9,"1,734","1,447","2,021",33.2,27.7,38.7,"43,909","40,237","47,581",AL,"14,044","13,469",575,4.1,"43,909",88
AL,Lee County,"9,049","22,855","30,707","32,377",9.5,24.1,32.3,34.1,AL,"30,075","26,732","33,418",19,16.9,21.1,"6,608","5,327","7,889",19.3,15.6,23,"4,770","3,799","5,741",19.2,15.3,23.1,"48,937","44,909","52,965",AL,"75,243","72,541","2,702",3.6,"48,937",98.1
AL,Limestone County,"10,123","19,463","18,341","16,367",15.7,30.3,28.5,25.5,AL,"10,633","8,515","12,751",11.4,9.1,13.7,"3,377","2,583","4,171",15.8,12.1,19.5,"2,529","1,934","3,124",15.8,12.1,19.5,"64,863","60,715","69,011",AL,"42,979","41,472","1,507",3.5,"64,863",130
AL,Lowndes County,"1,588","2,722","1,750",996,22.5,38.6,24.8,14.1,AL,"2,474","1,900","3,048",25.1,19.3,30.9,886,632,"1,140",39.6,28.3,50.9,654,448,860,40.1,27.4,52.8,"33,973","30,383","37,563",AL,"3,614","3,354",260,7.2,"33,973",68.1
AL,Macon County,"2,215","3,658","3,752","2,510",18.3,30.1,30.9,20.7,AL,"5,031","3,952","6,110",30.2,23.7,36.7,"1,199",843,"1,555",39.7,27.9,51.5,852,568,"1,136",39,26,52,"32,495","29,370","35,620",AL,"7,862","7,442",420,5.3,"32,495",65.1
AL,Madison County,"21,617","50,768","69,750","101,650",8.9,20.8,28.6,41.7,AL,"42,667","37,832","47,502",11.9,10.5,13.3,"13,306","11,021","15,591",16.9,14,19.8,"8,794","6,998","10,590",15.2,12.1,18.3,"63,755","60,984","66,526",AL,"181,565","175,352","6,213",3.4,"63,755",127.8
AL,Marengo County,"2,192","5,378","3,869","2,084",16.2,39.8,28.6,15.4,AL,"4,499","3,580","5,418",24,19.1,28.9,"1,479","1,106","1,852",34.5,25.8,43.2,"1,025",729,"1,321",33.1,23.5,42.7,"37,733","33,566","41,900",AL,"7,608","7,237",371,4.9,"37,733",75.6
AL,Marion County,"4,343","7,435","6,770","2,806",20.3,34.8,31.7,13.1,AL,"5,844","4,818","6,870",20.2,16.7,23.7,"1,664","1,254","2,074",27.4,20.6,34.2,"1,161",828,"1,494",25.9,18.5,33.3,"37,887","34,014","41,760",AL,"12,621","12,114",507,4,"37,887",76
AL,Marshall County,"12,151","19,818","19,442","12,233",19.1,31.1,30.5,19.2,AL,"17,341","14,934","19,748",18.3,15.8,20.8,"6,532","5,366","7,698",27.9,22.9,32.9,"4,510","3,620","5,400",26.9,21.6,32.2,"46,233","42,465","50,001",AL,"42,925","41,496","1,429",3.3,"46,233",92.7
AL,Mobile County,"38,247","92,986","82,763","63,703",13.8,33.5,29.8,22.9,AL,"84,539","76,590","92,488",20.8,18.8,22.8,"29,853","26,306","33,400",31.4,27.7,35.1,"20,805","18,154","23,456",30.4,26.5,34.3,"43,598","41,273","45,923",AL,"189,004","180,293","8,711",4.6,"43,598",87.4
