State,Area_name,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018
IN,"Ohio County, IN","3,189","3,075",114,3.6,"58,022",104.1
IN,"Orange County, IN","8,570","8,231",339,4.0,"44,968",80.7
IN,"Owen County, IN","9,338","8,926",412,4.4,"49,731",89.2
IN,"Parke County, IN","7,152","6,861",291,4.1,"49,639",89.1
IN,"Perry County, IN","9,330","8,981",349,3.7,"52,332",93.9
IN,"Pike County, IN","6,136","5,919",217,3.5,"54,265",97.4
IN,"Porter County, IN","87,378","83,988","3,390",3.9,"69,298",124.4
IN,"Posey County, IN","13,715","13,323",392,2.9,"68,162",122.3
IN,"Pulaski County, IN","6,507","6,303",204,3.1,"49,730",89.2
IN,"Putnam County, IN","16,770","16,126",644,3.8,"54,718",98.2
IN,"Randolph County, IN","11,615","11,156",459,4.0,"46,441",83.3
IN,"Ripley County, IN","14,106","13,592",514,3.6,"57,436",103.1
IN,"Rush County, IN","9,037","8,775",262,2.9,"53,271",95.6
IN,"St. Joseph County, IN","136,494","131,569","4,925",3.6,"54,674",98.1
IN,"Scott County, IN","10,623","10,204",419,3.9,"44,913",80.6
IN,"Shelby County, IN","23,094","22,365",729,3.2,"57,193",102.6
IN,"Spencer County, IN","10,979","10,614",365,3.3,"56,862",102.0
IN,"Starke County, IN","10,409","9,949",460,4.4,"49,972",89.7
IN,"Steuben County, IN","20,315","19,766",549,2.7,"58,295",104.6
IN,"Sullivan County, IN","8,597","8,191",406,4.7,"47,554",85.3
IN,"Switzerland County, IN","5,072","4,872",200,3.9,"47,713",85.6
IN,"Tippecanoe County, IN","98,133","94,963","3,170",3.2,"52,269",93.8
IN,"Tipton County, IN","9,234","8,973",261,2.8,"60,896",109.3
IN,"Union County, IN","3,564","3,450",114,3.2,"50,300",90.3
IN,"Vanderburgh County, IN","95,029","91,968","3,061",3.2,"50,500",90.6
IN,"Vermillion County, IN","7,161","6,762",399,5.6,"49,287",88.4
IN,"Vigo County, IN","49,125","46,941","2,184",4.4,"48,335",86.7
IN,"Wabash County, IN","14,991","14,467",524,3.5,"51,487",92.4
IN,"Warren County, IN","4,207","4,070",137,3.3,"60,596",108.7
IN,"Warrick County, IN","33,209","32,221",988,3.0,"75,534",135.5
IN,"Washington County, IN","13,828","13,335",493,3.6,"44,534",79.9
IN,"Wayne County, IN","31,261","30,124","1,137",3.6,"45,130",81.0
IN,"Wells County, IN","14,396","13,985",411,2.9,"60,010",107.7
IN,"White County, IN","13,682","13,257",425,3.1,"58,380",104.8
IN,"Whitley County, IN","17,671","17,157",514,2.9,"67,758",121.6
IA,Iowa,"1,690,960","1,646,708","44,252",2.6,"60,071",100.0
IA,"Adair County, IA","4,136","4,035",101,2.4,"54,282",90.4
IA,"Adams County, IA","2,117","2,075",42,2.0,"51,577",85.9
IA,"Allamakee County, IA","7,374","7,141",233,3.2,"53,359",88.8
IA,"Appanoose County, IA","5,890","5,687",203,3.4,"44,298",73.7
IA,"Audubon County, IA","3,090","3,012",78,2.5,"51,210",85.2
IA,"Benton County, IA","13,339","12,965",374,2.8,"62,799",104.5
IA,"Black Hawk County, IA","68,546","66,567","1,979",2.9,"52,320",87.1
IA,"Boone County, IA","14,843","14,515",328,2.2,"63,099",105.0
IA,"Bremer County, IA","13,807","13,516",291,2.1,"74,646",124.3
IA,"Buchanan County, IA","11,221","10,924",297,2.6,"59,724",99.4
IA,"Buena Vista County, IA","11,541","11,292",249,2.2,"52,683",87.7
IA,"Butler County, IA","7,819","7,597",222,2.8,"57,971",96.5
IA,"Calhoun County, IA","4,285","4,173",112,2.6,"54,865",91.3
IA,"Carroll County, IA","10,819","10,611",208,1.9,"60,531",100.8
IA,"Cass County, IA","7,104","6,909",195,2.7,"50,356",83.8
IA,"Cedar County, IA","10,785","10,514",271,2.5,"67,597",112.5
IA,"Cerro Gordo County, IA","23,294","22,665",629,2.7,"51,939",86.5
IA,"Cherokee County, IA","5,984","5,851",133,2.2,"56,312",93.7
IA,"Chickasaw County, IA","6,417","6,239",178,2.8,"64,190",106.9
IA,"Clarke County, IA","4,817","4,676",141,2.9,"52,541",87.5
IA,"Clay County, IA","8,529","8,246",283,3.3,"56,338",93.8
IA,"Clayton County, IA","10,144","9,813",331,3.3,"53,968",89.8
IA,"Clinton County, IA","22,685","21,931",754,3.3,"51,317",85.4
IA,"Crawford County, IA","8,166","7,880",286,3.5,"54,828",91.3
IA,"Dallas County, IA","48,655","47,789",866,1.8,"87,267",145.3
IA,"Davis County, IA","4,211","4,094",117,2.8,"54,830",91.3
IA,"Decatur County, IA","4,332","4,231",101,2.3,"41,101",68.4
IA,"Delaware County, IA","10,433","10,210",223,2.1,"61,342",102.1
IA,"Des Moines County, IA","19,441","18,784",657,3.4,"51,805",86.2
IA,"Dickinson County, IA","9,844","9,522",322,3.3,"55,603",92.6
IA,"Dubuque County, IA","55,332","53,949","1,383",2.5,"60,367",100.5
IA,"Emmet County, IA","5,298","5,148",150,2.8,"51,497",85.7
IA,"Fayette County, IA","10,515","10,193",322,3.1,"50,893",84.7
IA,"Floyd County, IA","8,825","8,580",245,2.8,"53,811",89.6
IA,"Franklin County, IA","5,779","5,653",126,2.2,"59,367",98.8
IA,"Fremont County, IA","3,717","3,645",72,1.9,"54,658",91.0
IA,"Greene County, IA","5,390","5,264",126,2.3,"51,861",86.3
IA,"Grundy County, IA","6,507","6,339",168,2.6,"65,060",108.3
IA,"Guthrie County, IA","5,539","5,390",149,2.7,"60,306",100.4
IA,"Hamilton County, IA","6,947","6,754",193,2.8,"56,738",94.5
IA,"Hancock County, IA","5,971","5,828",143,2.4,"60,859",101.3
IA,"Hardin County, IA","8,245","8,003",242,2.9,"55,303",92.1
IA,"Harrison County, IA","7,256","7,089",167,2.3,"60,044",100.0
IA,"Henry County, IA","9,718","9,471",247,2.5,"55,856",93.0
IA,"Howard County, IA","5,186","5,051",135,2.6,"53,500",89.1
IA,"Humboldt County, IA","5,191","5,057",134,2.6,"60,166",100.2
IA,"Ida County, IA","4,092","4,009",83,2.0,"60,312",100.4
IA,"Iowa County, IA","10,427","10,204",223,2.1,"64,188",106.9
IA,"Jackson County, IA","10,946","10,633",313,2.9,"54,663",91.0
IA,"Jasper County, IA","19,356","18,828",528,2.7,"60,378",100.5
IA,"Jefferson County, IA","9,724","9,498",226,2.3,"46,715",77.8
IA,"Johnson County, IA","85,689","83,976","1,713",2.0,"64,387",107.2
IA,"Jones County, IA","10,576","10,251",325,3.1,"55,405",92.2
IA,"Keokuk County, IA","5,149","4,996",153,3.0,"52,122",86.8
IA,"Kossuth County, IA","8,508","8,330",178,2.1,"55,486",92.4
IA,"Lee County, IA","15,963","15,301",662,4.1,"48,241",80.3
IA,"Linn County, IA","120,292","116,835","3,457",2.9,"64,878",108.0
IA,"Louisa County, IA","6,055","5,890",165,2.7,"49,585",82.5
IA,"Lucas County, IA","4,493","4,401",92,2.0,"49,956",83.2
IA,"Lyon County, IA","6,983","6,873",110,1.6,"69,048",114.9
IA,"Madison County, IA","8,425","8,149",276,3.3,"74,794",124.5
IA,"Mahaska County, IA","11,701","11,402",299,2.6,"56,492",94.0
IA,"Marion County, IA","17,876","17,497",379,2.1,"63,491",105.7
IA,"Marshall County, IA","18,038","17,211",827,4.6,"59,552",99.1
IA,"Mills County, IA","7,269","7,111",158,2.2,"64,271",107.0
IA,"Mitchell County, IA","5,920","5,810",110,1.9,"59,558",99.1
IA,"Monona County, IA","4,453","4,327",126,2.8,"50,530",84.1
IA,"Monroe County, IA","3,901","3,783",118,3.0,"56,541",94.1
IA,"Montgomery County, IA","4,927","4,803",124,2.5,"49,966",83.2
IA,"Muscatine County, IA","21,771","21,173",598,2.7,"58,465",97.3
IA,"O'Brien County, IA","8,109","7,943",166,2.0,"53,147",88.5
IA,"Osceola County, IA","3,519","3,449",70,2.0,"60,627",100.9
IA,"Page County, IA","6,394","6,229",165,2.6,"54,313",90.4
IA,"Palo Alto County, IA","4,863","4,753",110,2.3,"55,322",92.1
IA,"Plymouth County, IA","14,664","14,375",289,2.0,"66,360",110.5
IA,"Pocahontas County, IA","4,345","4,264",81,1.9,"55,865",93.0
IA,"Polk County, IA","264,091","257,086","7,005",2.7,"68,479",114.0
IA,"Pottawattamie County, IA","47,670","46,511","1,159",2.4,"56,337",93.8
IA,"Poweshiek County, IA","10,461","10,207",254,2.4,"56,170",93.5
IA,"Ringgold County, IA","2,526","2,454",72,2.9,"48,754",81.2
IA,"Sac County, IA","5,294","5,165",129,2.4,"56,698",94.4
IA,"Scott County, IA","87,810","85,144","2,666",3.0,"59,865",99.7
IA,"Shelby County, IA","6,651","6,514",137,2.1,"58,862",98.0
IA,"Sioux County, IA","20,487","20,110",377,1.8,"70,162",116.8
IA,"Story County, IA","57,864","56,909",955,1.7,"57,464",95.7
IA,"Tama County, IA","9,487","9,196",291,3.1,"56,954",94.8
IA,"Taylor County, IA","3,236","3,170",66,2.0,"47,781",79.5
IA,"Union County, IA","6,372","6,139",233,3.7,"49,887",83.0
IA,"Van Buren County, IA","3,712","3,610",102,2.7,"47,905",79.7
IA,"Wapello County, IA","17,677","17,051",626,3.5,"48,226",80.3
IA,"Warren County, IA","27,787","27,130",657,2.4,"78,192",130.2
IA,"Washington County, IA","11,969","11,676",293,2.4,"65,849",109.6
IA,"Wayne County, IA","2,768","2,690",78,2.8,"46,725",77.8
IA,"Webster County, IA","19,164","18,519",645,3.4,"52,093",86.7
IA,"Winnebago County, IA","5,001","4,867",134,2.7,"54,433",90.6
IA,"Winneshiek County, IA","11,787","11,463",324,2.7,"61,807",102.9
IA,"Woodbury County, IA","55,010","53,584","1,426",2.6,"60,059",100.0
IA,"Worth County, IA","4,167","4,050",117,2.8,"58,587",97.5
IA,"Wright County, IA","6,462","6,289",173,2.7,"54,802",91.2
KS,Kansas,"1,477,847","1,429,229","48,618",3.3,"58,150",100.0
KS,"Allen County, KS","6,323","6,076",247,3.9,"44,423",76.4
KS,"Anderson County, KS","4,113","3,973",140,3.4,"50,646",87.1
KS,"Atchison County, KS","6,997","6,681",316,4.5,"49,332",84.8
KS,"Barber County, KS","2,377","2,318",59,2.5,"47,634",81.9
KS,"Barton County, KS","13,510","13,081",429,3.2,"49,991",86.0
KS,"Bourbon County, KS","7,078","6,788",290,4.1,"41,807",71.9
KS,"Brown County, KS","5,360","5,200",160,3.0,"47,529",81.7
KS,"Butler County, KS","31,912","30,836","1,076",3.4,"65,953",113.4
KS,"Chase County, KS","1,464","1,426",38,2.6,"50,981",87.7
KS,"Chautauqua County, KS","1,412","1,357",55,3.9,"41,129",70.7
KS,"Cherokee County, KS","10,019","9,652",367,3.7,"44,475",76.5
KS,"Cheyenne County, KS","1,308","1,278",30,2.3,"43,274",74.4
KS,"Clark County, KS","1,061","1,036",25,2.4,"51,235",88.1
KS,"Clay County, KS","3,779","3,660",119,3.1,"52,681",90.6
KS,"Cloud County, KS","3,779","3,652",127,3.4,"44,467",76.5
KS,"Coffey County, KS","4,080","3,891",189,4.6,"58,371",100.4
KS,"Comanche County, KS",883,862,21,2.4,"46,818",80.5
KS,"Cowley County, KS","16,769","16,208",561,3.3,"47,864",82.3
KS,"Crawford County, KS","18,732","18,000",732,3.9,"43,852",75.4
KS,"Decatur County, KS","1,251","1,215",36,2.9,"44,774",77.0
KS,"Dickinson County, KS","9,091","8,779",312,3.4,"50,605",87.0
KS,"Doniphan County, KS","4,144","3,999",145,3.5,"50,949",87.6
KS,"Douglas County, KS","65,119","63,156","1,963",3.0,"57,120",98.2
KS,"Edwards County, KS","1,491","1,456",35,2.3,"46,962",80.8
KS,"Elk County, KS","1,167","1,128",39,3.3,"37,360",64.2
KS,"Ellis County, KS","16,886","16,493",393,2.3,"53,840",92.6
KS,"Ellsworth County, KS","2,681","2,608",73,2.7,"50,261",86.4
KS,"Finney County, KS","20,451","19,954",497,2.4,"56,206",96.7
KS,"Ford County, KS","17,228","16,801",427,2.5,"56,052",96.4
KS,"Franklin County, KS","13,999","13,507",492,3.5,"58,033",99.8
KS,"Geary County, KS","11,395","10,868",527,4.6,"50,856",87.5
KS,"Gove County, KS","1,415","1,385",30,2.1,"49,626",85.3
KS,"Graham County, KS","1,138","1,103",35,3.1,"41,906",72.1
KS,"Grant County, KS","3,335","3,244",91,2.7,"61,614",106.0
KS,"Gray County, KS","3,403","3,336",67,2.0,"65,771",113.1
KS,"Greeley County, KS",855,838,17,2.0,"51,606",88.7
KS,"Greenwood County, KS","3,228","3,117",111,3.4,"43,083",74.1
KS,"Hamilton County, KS","1,620","1,589",31,1.9,"51,559",88.7
KS,"Harper County, KS","2,731","2,655",76,2.8,"45,570",78.4
KS,"Harvey County, KS","16,719","16,190",529,3.2,"57,934",99.6
KS,"Haskell County, KS","2,190","2,144",46,2.1,"60,808",104.6
KS,"Hodgeman County, KS",982,958,24,2.4,"54,058",93.0
KS,"Jackson County, KS","7,176","6,965",211,2.9,"56,330",96.9
KS,"Jefferson County, KS","10,124","9,803",321,3.2,"69,246",119.1
KS,"Jewell County, KS","1,282","1,248",34,2.7,"44,271",76.1
KS,"Johnson County, KS","335,617","326,067","9,550",2.8,"87,087",149.8
KS,"Kearny County, KS","2,079","2,032",47,2.3,"63,248",108.8
KS,"Kingman County, KS","3,389","3,282",107,3.2,"56,005",96.3
KS,"Kiowa County, KS","1,299","1,268",31,2.4,"64,399",110.7
KS,"Labette County, KS","10,181","9,785",396,3.9,"44,571",76.6
KS,"Lane County, KS",788,766,22,2.8,"59,240",101.9
KS,"Leavenworth County, KS","36,155","34,856","1,299",3.6,"70,807",121.8
KS,"Lincoln County, KS","1,696","1,655",41,2.4,"44,439",76.4
KS,"Linn County, KS","4,402","4,146",256,5.8,"47,153",81.1
KS,"Logan County, KS","1,680","1,645",35,2.1,"50,267",86.4
KS,"Lyon County, KS","16,548","15,975",573,3.5,"47,982",82.5
KS,"McPherson County, KS","16,468","16,059",409,2.5,"58,017",99.8
KS,"Marion County, KS","6,015","5,831",184,3.1,"51,712",88.9
KS,"Marshall County, KS","5,466","5,326",140,2.6,"51,066",87.8
KS,"Meade County, KS","2,271","2,225",46,2.0,"67,220",115.6
KS,"Miami County, KS","17,341","16,726",615,3.5,"71,770",123.4
KS,"Mitchell County, KS","3,440","3,365",75,2.2,"51,514",88.6
KS,"Montgomery County, KS","14,726","14,106",620,4.2,"42,479",73.1
KS,"Morris County, KS","2,994","2,914",80,2.7,"49,287",84.8
KS,"Morton County, KS","1,166","1,129",37,3.2,"53,785",92.5
KS,"Nemaha County, KS","5,460","5,336",124,2.3,"59,567",102.4
KS,"Neosho County, KS","5,976","5,691",285,4.8,"46,176",79.4
KS,"Ness County, KS","1,330","1,295",35,2.6,"51,757",89.0
KS,"Norton County, KS","2,736","2,679",57,2.1,"47,252",81.3
KS,"Osage County, KS","8,003","7,706",297,3.7,"53,864",92.6
KS,"Osborne County, KS","2,036","1,986",50,2.5,"46,101",79.3
KS,"Ottawa County, KS","3,000","2,917",83,2.8,"56,451",97.1
KS,"Pawnee County, KS","2,902","2,812",90,3.1,"47,039",80.9
KS,"Phillips County, KS","2,766","2,698",68,2.5,"47,405",81.5
KS,"Pottawatomie County, KS","12,442","12,105",337,2.7,"69,975",120.3
KS,"Pratt County, KS","4,938","4,806",132,2.7,"52,567",90.4
KS,"Rawlins County, KS","1,470","1,440",30,2.0,"46,638",80.2
KS,"Reno County, KS","29,591","28,544","1,047",3.5,"49,341",84.9
KS,"Republic County, KS","2,407","2,343",64,2.7,"48,566",83.5
KS,"Rice County, KS","5,272","5,121",151,2.9,"51,686",88.9
KS,"Riley County, KS","35,134","34,146",988,2.8,"47,057",80.9
KS,"Rooks County, KS","2,510","2,432",78,3.1,"47,365",81.5
KS,"Rush County, KS","1,647","1,603",44,2.7,"44,121",75.9
KS,"Russell County, KS","3,358","3,261",97,2.9,"45,879",78.9
KS,"Saline County, KS","30,165","29,266",899,3.0,"53,961",92.8
KS,"Scott County, KS","2,849","2,794",55,1.9,"63,790",109.7
KS,"Sedgwick County, KS","246,776","237,636","9,140",3.7,"56,381",97.0
KS,"Seward County, KS","9,544","9,242",302,3.2,"50,671",87.1
KS,"Shawnee County, KS","90,498","87,401","3,097",3.4,"53,612",92.2
KS,"Sheridan County, KS","1,418","1,387",31,2.2,"50,553",86.9
KS,"Sherman County, KS","2,887","2,808",79,2.7,"45,966",79.0
KS,"Smith County, KS","1,960","1,913",47,2.4,"41,899",72.1
KS,"Stafford County, KS","1,966","1,915",51,2.6,"47,835",82.3
KS,"Stanton County, KS",999,974,25,2.5,"60,136",103.4
KS,"Stevens County, KS","2,592","2,518",74,2.9,"58,817",101.1
KS,"Sumner County, KS","10,719","10,349",370,3.5,"56,946",97.9
KS,"Thomas County, KS","4,257","4,151",106,2.5,"55,345",95.2
KS,"Trego County, KS","1,376","1,334",42,3.1,"48,520",83.4
KS,"Wabaunsee County, KS","3,652","3,539",113,3.1,"59,744",102.7
KS,"Wallace County, KS",819,799,20,2.4,"51,350",88.3
KS,"Washington County, KS","2,926","2,849",77,2.6,"48,104",82.7
KS,"Wichita County, KS","1,314","1,287",27,2.1,"59,800",102.8
KS,"Wilson County, KS","4,000","3,829",171,4.3,"45,697",78.6
KS,"Woodson County, KS","1,592","1,524",68,4.3,"43,894",75.5
KS,"Wyandotte County, KS","76,791","73,124","3,667",4.8,"47,084",81.0
KY,Kentucky,"2,057,791","1,968,611","89,180",4.3,"50,189",100.0
KY,"Adair County, KY","7,203","6,845",358,5.0,"37,392",74.5
KY,"Allen County, KY","8,925","8,588",337,3.8,"44,624",88.9
KY,"Anderson County, KY","11,916","11,487",429,3.6,"60,908",121.4
KY,"Ballard County, KY","3,538","3,291",247,7.0,"47,658",95.0
KY,"Barren County, KY","19,055","18,208",847,4.4,"42,439",84.6
KY,"Bath County, KY","4,615","4,303",312,6.8,"44,183",88.0
KY,"Bell County, KY","8,489","7,957",532,6.3,"29,362",58.5
KY,"Boone County, KY","70,694","68,308","2,386",3.4,"77,696",154.8
KY,"Bourbon County, KY","9,700","9,313",387,4.0,"48,614",96.9
KY,"Boyd County, KY","17,944","16,882","1,062",5.9,"48,020",95.7
KY,"Boyle County, KY","12,575","12,016",559,4.4,"47,528",94.7
KY,"Bracken County, KY","3,814","3,627",187,4.9,"56,432",112.4
KY,"Breathitt County, KY","3,623","3,360",263,7.3,"31,182",62.1
KY,"Breckinridge County, KY","7,954","7,525",429,5.4,"47,284",94.2
KY,"Bullitt County, KY","42,769","41,040","1,729",4.0,"61,022",121.6
KY,"Butler County, KY","5,111","4,859",252,4.9,"43,048",85.8
KY,"Caldwell County, KY","5,391","5,134",257,4.8,"43,659",87.0
KY,"Calloway County, KY","18,760","18,025",735,3.9,"41,873",83.4
KY,"Campbell County, KY","50,542","48,876","1,666",3.3,"60,904",121.3
KY,"Carlisle County, KY","2,258","2,146",112,5.0,"41,249",82.2
KY,"Carroll County, KY","5,254","5,038",216,4.1,"47,623",94.9
KY,"Carter County, KY","9,846","8,938",908,9.2,"32,906",65.6
KY,"Casey County, KY","6,720","6,405",315,4.7,"34,358",68.5
KY,"Christian County, KY","24,569","23,250","1,319",5.4,"40,299",80.3
KY,"Clark County, KY","17,155","16,446",709,4.1,"50,162",99.9
KY,"Clay County, KY","5,220","4,853",367,7.0,"28,146",56.1
KY,"Clinton County, KY","3,871","3,660",211,5.5,"31,118",62.0
KY,"Crittenden County, KY","3,867","3,668",199,5.1,"43,624",86.9
KY,"Cumberland County, KY","3,122","2,983",139,4.5,"33,541",66.8
KY,"Daviess County, KY","47,505","45,602","1,903",4.0,"51,441",102.5
KY,"Edmonson County, KY","4,816","4,559",257,5.3,"43,151",86.0
KY,"Elliott County, KY","2,053","1,861",192,9.4,"35,446",70.6
KY,"Estill County, KY","5,324","5,034",290,5.4,"35,701",71.1
KY,"Fayette County, KY","174,380","168,569","5,811",3.3,"55,358",110.3
KY,"Fleming County, KY","6,087","5,754",333,5.5,"42,571",84.8
KY,"Floyd County, KY","10,928","10,214",714,6.5,"33,218",66.2
KY,"Franklin County, KY","25,006","24,075",931,3.7,"53,134",105.9
KY,"Fulton County, KY","2,034","1,918",116,5.7,"32,355",64.5
KY,"Gallatin County, KY","4,071","3,906",165,4.1,"49,060",97.8
KY,"Garrard County, KY","7,671","7,328",343,4.5,"51,203",102.0
KY,"Grant County, KY","11,711","11,207",504,4.3,"53,965",107.5
KY,"Graves County, KY","15,479","14,704",775,5.0,"46,785",93.2
KY,"Grayson County, KY","10,968","10,430",538,4.9,"40,780",81.3
KY,"Green County, KY","5,084","4,868",216,4.2,"36,782",73.3
KY,"Greenup County, KY","13,448","12,561",887,6.6,"49,457",98.5
KY,"Hancock County, KY","3,997","3,828",169,4.2,"56,769",113.1
KY,"Hardin County, KY","48,964","46,960","2,004",4.1,"52,278",104.2
KY,"Harlan County, KY","6,549","6,069",480,7.3,"29,521",58.8
KY,"Harrison County, KY","8,656","8,298",358,4.1,"51,709",103.0
KY,"Hart County, KY","8,054","7,732",322,4.0,"37,038",73.8
KY,"Henderson County, KY","22,011","21,166",845,3.8,"51,161",101.9
KY,"Henry County, KY","8,231","7,915",316,3.8,"53,405",106.4
KY,"Hickman County, KY","1,795","1,693",102,5.7,"44,290",88.2
KY,"Hopkins County, KY","18,410","17,561",849,4.6,"45,512",90.7
KY,"Jackson County, KY","4,096","3,809",287,7.0,"35,317",70.4
KY,"Jefferson County, KY","400,457","384,240","16,217",4.0,"55,860",111.3
KY,"Jessamine County, KY","26,475","25,510",965,3.6,"59,443",118.4
KY,"Johnson County, KY","6,769","6,308",461,6.8,"39,381",78.5
KY,"Kenton County, KY","87,423","84,408","3,015",3.4,"64,644",128.8
KY,"Knott County, KY","4,411","4,110",301,6.8,"32,228",64.2
KY,"Knox County, KY","10,012","9,381",631,6.3,"30,742",61.3
KY,"Larue County, KY","5,981","5,714",267,4.5,"45,458",90.6
KY,"Laurel County, KY","24,832","23,561","1,271",5.1,"41,425",82.5
KY,"Lawrence County, KY","5,071","4,704",367,7.2,"36,667",73.1
KY,"Lee County, KY","2,086","1,952",134,6.4,"29,124",58.0
KY,"Leslie County, KY","2,623","2,437",186,7.1,"31,921",63.6
KY,"Letcher County, KY","6,257","5,855",402,6.4,"32,321",64.4
KY,"Lewis County, KY","4,707","4,314",393,8.3,"35,751",71.2
KY,"Lincoln County, KY","9,356","8,884",472,5.0,"42,190",84.1
KY,"Livingston County, KY","3,671","3,422",249,6.8,"48,182",96.0
KY,"Logan County, KY","12,428","11,947",481,3.9,"46,742",93.1
KY,"Lyon County, KY","3,053","2,899",154,5.0,"48,395",96.4
KY,"McCracken County, KY","29,206","27,572","1,634",5.6,"48,950",97.5
KY,"McCreary County, KY","4,637","4,345",292,6.3,"30,029",59.8
KY,"McLean County, KY","4,237","4,026",211,5.0,"48,080",95.8
KY,"Madison County, KY","46,933","45,118","1,815",3.9,"51,897",103.4
KY,"Magoffin County, KY","2,933","2,556",377,12.9,"30,950",61.7
KY,"Marion County, KY","9,644","9,282",362,3.8,"45,661",91.0
KY,"Marshall County, KY","14,971","14,175",796,5.3,"52,388",104.4
KY,"Martin County, KY","2,799","2,620",179,6.4,"28,925",57.6
KY,"Mason County, KY","7,187","6,788",399,5.6,"41,807",83.3
KY,"Meade County, KY","12,260","11,687",573,4.7,"57,613",114.8
KY,"Menifee County, KY","2,320","2,143",177,7.6,"34,002",67.7
KY,"Mercer County, KY","9,911","9,471",440,4.4,"53,921",107.4
KY,"Metcalfe County, KY","4,120","3,947",173,4.2,"35,906",71.5
KY,"Monroe County, KY","4,700","4,504",196,4.2,"35,596",70.9
KY,"Montgomery County, KY","11,680","10,984",696,6.0,"46,629",92.9
KY,"Morgan County, KY","4,479","4,194",285,6.4,"35,848",71.4
KY,"Muhlenberg County, KY","10,557","9,848",709,6.7,"43,722",87.1
KY,"Nelson County, KY","22,726","21,742",984,4.3,"55,602",110.8
KY,"Nicholas County, KY","3,286","3,134",152,4.6,"41,428",82.5
KY,"Ohio County, KY","9,878","9,314",564,5.7,"44,751",89.2
KY,"Oldham County, KY","33,311","32,218","1,093",3.3,"102,136",203.5
KY,"Owen County, KY","5,212","4,954",258,5.0,"48,998",97.6
KY,"Owsley County, KY","1,139","1,055",84,7.4,"26,278",52.4
KY,"Pendleton County, KY","6,991","6,702",289,4.1,"54,583",108.8
KY,"Perry County, KY","8,167","7,654",513,6.3,"33,108",66.0
KY,"Pike County, KY","20,001","18,827","1,174",5.9,"37,124",74.0
KY,"Powell County, KY","5,022","4,723",299,6.0,"37,776",75.3
KY,"Pulaski County, KY","26,035","24,726","1,309",5.0,"41,541",82.8
KY,"Robertson County, KY",802,763,39,4.9,"45,146",90.0
KY,"Rockcastle County, KY","6,641","6,310",331,5.0,"37,732",75.2
KY,"Rowan County, KY","10,537","9,990",547,5.2,"41,196",82.1
KY,"Russell County, KY","6,284","5,920",364,5.8,"34,648",69.0
KY,"Scott County, KY","28,967","28,006",961,3.3,"73,500",146.4
KY,"Shelby County, KY","25,494","24,614",880,3.5,"66,056",131.6
KY,"Simpson County, KY","8,861","8,511",350,3.9,"51,769",103.1
KY,"Spencer County, KY","10,219","9,850",369,3.6,"85,899",171.2
KY,"Taylor County, KY","12,558","12,029",529,4.2,"45,429",90.5
KY,"Todd County, KY","5,303","5,091",212,4.0,"51,027",101.7
KY,"Trigg County, KY","5,913","5,627",286,4.8,"49,767",99.2
KY,"Trimble County, KY","3,872","3,707",165,4.3,"51,674",103.0
KY,"Union County, KY","6,014","5,716",298,5.0,"47,067",93.8
KY,"Warren County, KY","64,620","62,234","2,386",3.7,"53,478",106.6
KY,"Washington County, KY","6,143","5,918",225,3.7,"50,246",100.1
KY,"Wayne County, KY","7,586","7,058",528,7.0,"33,701",67.1
KY,"Webster County, KY","5,782","5,538",244,4.2,"47,132",93.9
KY,"Whitley County, KY","13,752","13,059",693,5.0,"36,863",73.4
KY,"Wolfe County, KY","1,903","1,757",146,7.7,"30,144",60.1
KY,"Woodford County, KY","14,767","14,309",458,3.1,"66,164",131.8
LA,Louisiana,"2,104,497","2,001,995","102,502",4.9,"48,021",100.0
LA,"Acadia Parish, LA","23,897","22,614","1,283",5.4,"40,484",84.3
LA,"Allen Parish, LA","8,761","8,265",496,5.7,"44,395",92.4
LA,"Ascension Parish, LA","64,198","61,565","2,633",4.1,"77,758",161.9
LA,"Assumption Parish, LA","8,960","8,365",595,6.6,"48,120",100.2
LA,"Avoyelles Parish, LA","15,303","14,434",869,5.7,"37,731",78.6
LA,"Beauregard Parish, LA","14,574","13,800",774,5.3,"57,005",118.7
LA,"Bienville Parish, LA","5,637","5,309",328,5.8,"34,047",70.9
LA,"Bossier Parish, LA","57,953","55,487","2,466",4.3,"56,754",118.2
LA,"Caddo Parish, LA","104,208","98,488","5,720",5.5,"40,467",84.3
LA,"Calcasieu Parish, LA","109,755","105,554","4,201",3.8,"50,531",105.2
LA,"Caldwell Parish, LA","3,832","3,612",220,5.7,"40,842",85.1
LA,"Cameron Parish, LA","4,073","3,929",144,3.5,"57,299",119.3
LA,"Catahoula Parish, LA","3,357","3,131",226,6.7,"35,812",74.6
LA,"Claiborne Parish, LA","5,806","5,505",301,5.2,"33,659",70.1
LA,"Concordia Parish, LA","6,999","6,513",486,6.9,"35,840",74.6
LA,"De Soto Parish, LA","10,891","10,269",622,5.7,"44,457",92.6
LA,"East Baton Rouge Parish, LA","231,205","221,219","9,986",4.3,"52,945",110.3
LA,"East Carroll Parish, LA","1,952","1,752",200,10.2,"27,714",57.7
LA,"East Feliciana Parish, LA","8,006","7,635",371,4.6,"45,174",94.1
LA,"Evangeline Parish, LA","12,089","11,397",692,5.7,"34,113",71.0
